teks,clean1,clean2,clean3,sentimen_lexicon,label_lexicon,cleaned
samae kasus omnya teman amrik ... tuli sebelah vaksin ... https : //t.co/gfilk5yfsw,samae kasus omnya teman amrik  tuli sebelah vaksin  https  ,samae omnya teman amrik tuli sebelah vaksin https,samae om teman amrik tuli belah vaksin https,-8,2,samae om teman amrik tuli belah vaksin https
vaksin covid-19 : 1 bilion dos diedarkan negara kaya https : //t.co/na9zf5mhzh,vaksin    bilion dos diedarkan negara kaya https  ,vaksin bilion dos diedarkan negara kaya https,vaksin bilion dos edar negara kaya https,4,1,vaksin bilion dos edar negara kaya https
"nyimpen air dingin diminum ❌ nyimpen air dingin kompress tangan ✔ gara2 vaksin tangan rada nyeri sih , gak semati .",nyimpen air dingin diminum ❌ nyimpen air dingin kompress tangan ✔  vaksin tangan rada nyeri sih  gak semati ,nyimpen air dingin diminum ❌ nyimpen air dingin kompress tangan ✔ vaksin tangan rada nyeri sih gak semati,nyimpen air dingin minum nyimpen air dingin kompress tangan vaksin tangan rada nyeri sih gak semat,1,1,nyimpen air dingin minum nyimpen air dingin kompress tangan vaksin tangan rada nyeri sih gak semat
"`` , ketidaksamarataan akses bekalan vaksin salah cabaran menangangi pandemik . '' # awaninews # awanipagi # hapuscovid19 https : //t.co/eqzpopdhxt",  ketidaksamarataan akses bekalan vaksin salah cabaran menangangi pandemik    awaninews  awanipagi   https  tcoeqzpopdhxt,ketidaksamarataan akses bekalan vaksin salah cabaran menangangi pandemik awaninews awanipagi https tcoeqzpopdhxt,ketidaksamarataan akses bekal vaksin salah cabar menangangi pandemik awaninews awanipagi https tcoeqzpopdhxt,-3,2,ketidaksamarataan akses bekal vaksin salah cabar menangangi pandemik awaninews awanipagi https tcoeqzpopdhxt
"`` gagah-gagahan menciptakan vaksin melangkahi proses-proses pembuktian ilmiah '' cacat prosedur , beda vaksin terawan praktik dukun ? - https : //t.co/rttl3v9kt8 https : //t.co/mjc5wpldfs", gagahgagahan menciptakan vaksin melangkahi prosesproses pembuktian ilmiah  cacat prosedur  beda vaksin terawan praktik dukun   https   https  ,gagahgagahan menciptakan vaksin melangkahi prosesproses pembuktian ilmiah cacat prosedur beda vaksin terawan praktik dukun https https,gagahgagahan cipta vaksin langkah prosesproses bukti ilmiah cacat prosedur beda vaksin awan praktik dukun https https,-13,2,gagahgagahan cipta vaksin langkah prosesproses bukti ilmiah cacat prosedur beda vaksin awan praktik dukun https https
"bukan astra zeneca , vaksin memang auto haram https : //t.co/7boq7wdhbm",bukan astra zeneca  vaksin memang auto haram https  ,astra zeneca vaksin auto haram https,astra zeneca vaksin auto haram https,0,0,astra zeneca vaksin auto haram https
"india darurat vaksin corona , stok habis ! https : //t.co/lcr4zriwwo",india darurat vaksin corona  stok habis  https  ,india darurat vaksin corona stok habis https,india darurat vaksin corona stok habis https,1,1,india darurat vaksin corona stok habis https
"@ jkjavmy phase 2 eh ? my dad tidak appointment pon , register vaksincovid gov , register mysejahtera pon . 🤷🏻‍♂️", jkjavmy phase  eh  my dad tidak appointment pon  register vaksincovid gov  register mysejahtera pon  🤷🏻‍♂️,jkjavmy phase eh my dad appointment pon register vaksincovid gov register mysejahtera pon 🤷🏻‍♂️,jkjavmy phase eh my dad appointment pon register vaksincovid gov register mysejahtera pon,0,0,jkjavmy phase eh my dad appointment pon register vaksincovid gov register mysejahtera pon
"@ fiabukanvallen iyaaa , habis vaksin ngantuk banget motor nguap muluuuu", fiabukanvallen iyaaa  habis vaksin ngantuk banget motor nguap muluuuu,fiabukanvallen iyaaa habis vaksin ngantuk banget motor nguap muluuuu,fiabukanvallen iyaaa habis vaksin ngantuk banget motor nguap muluuuu,2,1,fiabukanvallen iyaaa habis vaksin ngantuk banget motor nguap muluuuu
@ kennethkhaug synes alle i oslo sku tertawa fått vaksin først . da har as norge aldri blitt stengt, kennethkhaug synes alle i oslo sku tertawa fått vaksin først  da har as norge aldri blitt stengt,kennethkhaug synes alle i oslo sku tertawa fått vaksin først da har as norge aldri blitt stengt,kennethkhaug synes alle i oslo sku tertawa f tt vaksin f rst da har as norge aldri blitt stengt,3,1,kennethkhaug synes alle i oslo sku tertawa f tt vaksin f rst da har as norge aldri blitt stengt
"@ ayahanda_md @ suarabiasa syukur alhamdulillah klu camtu tuan , tokmat blom suntik kan vaksin , tunggu giliran sajer skrg daftar dh ...", ayahandamd  suarabiasa syukur alhamdulillah klu camtu tuan  tokmat blom suntik kan vaksin  tunggu giliran sajer skrg daftar dh ,ayahandamd suarabiasa syukur alhamdulillah klu camtu tuan tokmat blom suntik vaksin tunggu giliran sajer skrg daftar dh,ayahandamd suarabiasa syukur alhamdulillah klu camtu tuan tokmat blom suntik vaksin tunggu gilir sajer skrg daftar dh,12,1,ayahandamd suarabiasa syukur alhamdulillah klu camtu tuan tokmat blom suntik vaksin tunggu gilir sajer skrg daftar dh
"dah cakap deh vaksin agenda yahudi , now paus deh take over kerja doktor so manusia berbunuhan cari kerja . what ’ s ? https : //t.co/cmasdv7uhy",dah cakap deh vaksin agenda yahudi  now paus deh take over kerja doktor so manusia berbunuhan cari kerja  what  s  https  ,dah cakap deh vaksin agenda yahudi now paus deh take over kerja doktor so manusia berbunuhan cari kerja what s https,dah cakap deh vaksin agenda yahudi now paus deh take over kerja doktor so manusia bunuh cari kerja what s https,-2,2,dah cakap deh vaksin agenda yahudi now paus deh take over kerja doktor so manusia bunuh cari kerja what s https
@ ayahanda_md @ suarabiasa hati2..kdg2 vaksin x slamat org tua nk mampuih mcm hang ini..tmbah2 plak org tua bmulut celaka dn pnyakit hati mcm hang ini..arap2 xdak apa2 ae, ayahandamd  suarabiasa  vaksin x slamat org tua nk mampuih mcm hang  plak org tua bmulut celaka dn pnyakit hati mcm hang  xdak  ae,ayahandamd suarabiasa vaksin x slamat org tua nk mampuih mcm hang plak org tua bmulut celaka dn pnyakit hati mcm hang xdak ae,ayahandamd suarabiasa vaksin x slamat org tua nk mampuih mcm hang plak org tua bmulut celaka dn pnyakit hati mcm hang xdak ae,-11,2,ayahandamd suarabiasa vaksin x slamat org tua nk mampuih mcm hang plak org tua bmulut celaka dn pnyakit hati mcm hang xdak ae
"@ barbaro5_ @ natali_cristi3n @ vaksin_vuritust @ gkampang hajar bang , makan ubi biar kentutnya gak habis2🤣",     vaksinvuritust  gkampang hajar bang  makan ubi biar kentutnya gak 🤣,vaksinvuritust gkampang hajar bang makan ubi biar kentutnya gak 🤣,vaksinvuritust gkampang hajar bang makan ubi biar kentut gak,-5,2,vaksinvuritust gkampang hajar bang makan ubi biar kentut gak
nak vaksin . penat mengharap tidak . lahh https : //t.co/7dk47rgmza,nak vaksin  penat mengharap tidak  lahh https  ,nak vaksin penat mengharap lahh https,nak vaksin penat harap lahh https,7,1,nak vaksin penat harap lahh https
memang mampos tidak vaksin,memang mampos tidak vaksin,mampos vaksin,mampos vaksin,0,0,mampos vaksin
giat pawas beserta piket fungsi melaksanakan patroli monitor situasi kantor dpc ipk kantor dpc pp vaksin covid -19 wilkum polsek bt.kuis . https : //t.co/jjlad2e62t,giat pawas beserta piket fungsi melaksanakan patroli monitor situasi kantor dpc ipk kantor dpc pp vaksin covid  wilkum polsek btkuis  https  ,giat pawas beserta piket fungsi melaksanakan patroli monitor situasi kantor dpc ipk kantor dpc pp vaksin covid wilkum polsek btkuis https,giat pawas serta piket fungsi laksana patroli monitor situasi kantor dpc ipk kantor dpc pp vaksin covid wilkum polsek btkuis https,4,1,giat pawas serta piket fungsi laksana patroli monitor situasi kantor dpc ipk kantor dpc pp vaksin covid wilkum polsek btkuis https
@ infomalang @ adillawongso @ pkm_cisadea nomor nya disesuaikan pasien vaksin 🙏, infomalang  adillawongso  pkmcisadea nomor nya disesuaikan pasien vaksin 🙏,infomalang adillawongso pkmcisadea nomor nya disesuaikan pasien vaksin 🙏,infomalang adillawongso pkmcisadea nomor nya sesuai pasien vaksin,3,1,infomalang adillawongso pkmcisadea nomor nya sesuai pasien vaksin
